File_Name,Category,Sub Cat 1,Sub Cat 2,Link
ha_refrigerators.csv,Appliances,Kitchen,Refrigerators,https://www.samsung.com/us/business/home-appliances/refrigerators/
ha_ranges.csv,Appliances,Kitchen,Ranges,https://www.samsung.com/us/business/home-appliances/ranges/
ha_cooktops-and-hoods.csv,Appliances,Kitchen,Cooktops & Hoods,https://www.samsung.com/us/business/home-appliances/cooktops-and-hoods/
ha_wall-ovens.csv,Appliances,Kitchen,Wall Ovens,https://www.samsung.com/us/business/home-appliances/wall-ovens/
ha_microwaves.csv,Appliances,Kitchen,Microwaves,https://www.samsung.com/us/business/home-appliances/microwaves/
ha_dishwashers.csv,Appliances,Kitchen,Dishwashers,https://www.samsung.com/us/business/home-appliances/dishwashers/
ha_dryers.csv,Appliances,Laundry,Dryer,https://www.samsung.com/us/business/home-appliances/dryers/
ha_washers.csv,Appliances,Laundry,Washer,https://www.samsung.com/us/business/home-appliances/washers/
ha_air-purifiers.csv,Appliances,Other Products,Air Purifiers,https://www.samsung.com/us/business/home-appliances/air-purifiers/
ha_vacuums.csv,Appliances,Other Products,Vacuums,https://www.samsung.com/us/business/home-appliances/vacuums/
ha_accessories.csv,Appliances,Other Products,Accessories,https://www.samsung.com/us/business/home-appliances/home-appliances-accessories/
